"kereta","start","end"
"Kereta api Sancaka","Stasiun Yogyakarta","Stasiun Surabaya Gubeng"
"Kereta api Turangga","Stasiun Surabaya Gubeng","Stasiun Bandung"
"Kereta api Penataran","Stasiun Surabaya Gubeng","Stasiun Blitar"
"Kereta api Delta Ekspres","Stasiun Surabaya Kota","Stasiun Sidoarjo"
"Kereta api Delta Ekspres","Stasiun Surabaya Kota","Stasiun Porong"
"Kereta api Arek Surokerto","Stasiun Surabaya Gubeng","Stasiun Mojokerto"
"Kereta api Argo Bromo Anggrek","Stasiun Surabaya Pasar Turi","Stasiun Gambir"
"Kereta api Surabaya-Bojonegoro","Stasiun Surabaya Pasarturi","Stasiun Bojonegoro"
"Kereta api Surabaya-Babat","Stasiun Surabaya Pasarturi","Stasiun Babat"
"Kereta api Cepu Ekspres","Stasiun Surabaya Pasarturi","Stasiun Cepu"
"Kereta api Surabaya-Cepu","Stasiun Cepu","Stasiun Surabaya Pasarturi"
"Kereta api Majapahit","Stasiun Malang","Stasiun Pasar Senen"
"Kereta api Sancaka","Stasiun Yogyakarta","Stasiun Surabaya Gubeng"
"Kereta api Turangga","Stasiun Surabaya Gubeng","Stasiun Bandung"
"Kereta api Penataran","Stasiun Surabaya Gubeng","Stasiun Blitar"
"Kereta api Delta Ekspres","Stasiun Surabaya Kota","Stasiun Sidoarjo"
"Kereta api Delta Ekspres","Stasiun Surabaya Kota","Stasiun Porong"
"Kereta api Arek Surokerto","Stasiun Surabaya Gubeng","Stasiun Mojokerto"
"Kereta api Argo Bromo Anggrek","Stasiun Surabaya Pasar Turi","Stasiun Gambir"
"Kereta api Surabaya-Bojonegoro","Stasiun Surabaya Pasarturi","Stasiun Bojonegoro"
"Kereta api Surabaya-Babat","Stasiun Surabaya Pasarturi","Stasiun Babat"
"Kereta api Cepu Ekspres","Stasiun Surabaya Pasarturi","Stasiun Cepu"
"Kereta api Surabaya-Cepu","Stasiun Cepu","Stasiun Surabaya Pasarturi"
"Kereta api Majapahit","Stasiun Malang","Stasiun Pasar Senen"
